date,open,high,low,close,volume,currency_name
2025-03-25,79441.34,82091.43,79010.55,81134.47,446.23686889,Bitcoin
2025-03-23,75935.1,80150.77,74226.31,79452.9,2004.67925658,Bitcoin
2025-03-16,74334.78,78476.1,70570.0,75928.62,3317.85059693,Bitcoin
2025-03-09,90634.87,90798.09,73680.0,74310.03,4567.1572473,Bitcoin
2025-03-02,91900.51,92078.26,75141.16,90642.23,5817.43954029,Bitcoin
2025-02-23,91620.25,94977.61,89368.01,91874.6,1663.37913607,Bitcoin
2025-02-16,93636.05,95586.34,91150.0,91634.19,1897.10832421,Bitcoin
2025-02-09,95431.64,99421.84,89248.9,93607.15,3166.38457836,Bitcoin
2025-02-02,98050.0,102000.0,93414.78,95427.29,2910.03861451,Bitcoin
2025-01-26,98539.45,105951.19,96436.0,98088.57,3658.55695193,Bitcoin
2025-01-19,92284.22,103599.98,87437.71,98574.14,3343.99758658,Bitcoin
2025-01-12,95456.12,98960.78,88606.32,92337.55,2445.36645429,Bitcoin
2025-01-05,89692.71,96143.44,87834.22,95451.75,2005.55539841,Bitcoin
2024-12-29,91182.16,96129.98,88832.59,89702.09,2344.01826091,Bitcoin
2024-12-22,99120.98,103000.0,88421.18,91204.69,4072.70477282,Bitcoin
2024-12-15,95662.16,99800.0,89217.53,99111.37,2699.63992449,Bitcoin
2024-12-08,92096.25,98456.03,86600.0,95685.97,3394.00176391,Bitcoin
2024-12-01,93388.13,94400.0,86543.9,92099.58,3804.20978625,Bitcoin
2024-11-24,85046.28,95501.25,84594.12,93391.61,5630.82466588,Bitcoin
2024-11-17,74780.73,88000.0,74639.1,85016.99,6663.35849385,Bitcoin
2024-11-10,63408.26,75699.99,61410.68,74757.19,3545.72577803,Bitcoin
2024-11-03,62928.68,68000.0,62351.09,63426.11,2261.17772077,Bitcoin
2024-10-27,63445.78,63900.0,60465.0,62928.34,1786.10966199,Bitcoin
2024-10-20,57516.93,63779.18,57148.57,63433.63,2063.91962502,Bitcoin
2024-10-13,57256.48,58723.0,53904.09,57519.27,1245.49032033,Bitcoin
2024-10-06,58752.02,58757.86,54237.15,57248.79,1637.16110423,Bitcoin
2024-09-29,56988.75,59528.74,56080.15,58742.25,1390.31440855,Bitcoin
2024-09-22,53320.98,57414.44,51650.17,57001.09,1655.13071181,Bitcoin
2024-09-15,49526.79,54781.85,49315.32,53343.95,1707.00085554,Bitcoin
2024-09-08,51911.95,54065.45,47428.66,49505.02,2198.29055177,Bitcoin
2024-09-01,57406.5,57632.29,51802.75,51931.36,1877.16287658,Bitcoin
2024-08-25,53049.34,58113.94,52408.27,57402.19,2010.86924833,Bitcoin
2024-08-18,53822.14,56141.89,51195.03,53046.89,1836.96086527,Bitcoin
2024-08-11,53330.01,57499.0,45021.36,53835.66,5859.41666575,Bitcoin
2024-08-04,62866.5,64749.0,52521.27,53309.69,3522.97605496,Bitcoin
2024-07-28,62526.97,63876.72,58512.0,62854.02,1840.76222947,Bitcoin
2024-07-21,55876.94,62721.17,55750.0,62529.01,2216.33637267,Bitcoin
2024-07-14,51589.15,56400.63,50144.21,55876.86,5468.18414888,Bitcoin
2024-07-07,58416.69,59467.74,49437.2,51589.15,3660.07676506,Bitcoin
2024-06-30,59127.81,59261.3,54419.19,58407.41,2451.79270208,Bitcoin
2024-06-23,62279.16,62696.68,59085.16,59107.12,1526.55665651,Bitcoin
2024-06-16,64664.14,65298.24,60801.06,62262.17,1826.63665226,Bitcoin
2024-06-09,62428.48,66132.47,62283.9,64648.18,1890.77051357,Bitcoin
2024-06-02,63145.8,64989.91,61440.0,62452.47,1558.52996222,Bitcoin
2024-05-26,60930.51,65933.02,60750.0,63138.93,2469.25527144,Bitcoin
2024-05-19,57085.97,62261.43,56418.03,60927.75,2144.93191604,Bitcoin
2024-05-12,59515.05,60834.0,55876.05,57075.98,2126.96316157,Bitcoin
2024-05-05,58965.5,60365.57,52943.49,59506.98,4178.03884138,Bitcoin
2024-04-28,60985.08,63134.63,58411.49,58947.56,2398.39662537,Bitcoin
2024-04-21,61870.64,62869.53,56129.0,60953.54,4851.40507085,Bitcoin
