city,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Tokyo,2024-10-16,78.1,67.3,73.2,78.1,67.3,73.2,65.0,75.9,0.0,0,0.0,,0.0,0.0,10.1,7.4,292.3,1019.8,77.7,8.3,153.8,13.3,6,10.0,2024-10-16T05:48:06,2024-10-16T17:04:04,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47662099999,47671099999,47727099999,47642043313,47680099999,RJTT"
Tokyo,2024-10-17,77.2,71.0,73.3,77.2,71.0,73.3,66.2,78.7,0.0,0,0.0,,0.0,0.0,15.2,11.2,30.7,1022.5,81.3,9.7,131.6,11.3,5,10.0,2024-10-17T05:48:58,2024-10-17T17:02:47,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47662099999,47671099999,47727099999,47670099999,47642043313,47680099999,47626099999,47682099999,RJTT"
Tokyo,2024-10-18,72.9,69.3,71.0,72.9,69.3,71.0,68.3,91.5,0.082,100,12.5,rain,0.0,0.0,14.5,5.8,336.0,1022.6,95.7,7.3,73.4,6.3,3,10.0,2024-10-18T05:49:51,2024-10-18T17:01:30,0.52,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"47662099999,47671099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2024-10-19,84.4,70.4,75.6,90.0,70.4,76.4,70.4,85.1,0.058,100,12.5,rain,0.0,0.0,22.1,12.5,229.4,1012.1,82.2,9.1,148.9,12.9,7,10.0,2024-10-19T05:50:44,2024-10-19T17:00:15,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"47662099999,47671099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2024-10-20,72.3,57.8,64.0,72.3,57.8,64.0,47.6,55.6,0.005,100,4.17,rain,0.0,0.0,28.6,11.5,28.4,1025.7,42.8,12.1,135.0,11.7,6,10.0,2024-10-20T05:51:37,2024-10-20T16:59:00,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2024-10-21,67.7,52.9,60.9,67.7,52.9,60.9,46.9,60.4,0.0,0,0.0,rain,0.0,0.0,18.1,9.1,345.0,1032.3,53.6,13.4,101.4,8.8,4,10.0,2024-10-21T05:52:31,2024-10-21T16:57:46,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2024-10-22,75.0,59.1,67.3,75.0,59.1,67.3,56.1,68.3,0.0,0,0.0,rain,0.0,0.0,16.6,10.1,338.8,1025.3,78.4,13.4,135.8,11.7,6,10.0,2024-10-22T05:53:25,2024-10-22T16:56:34,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2024-10-23,76.3,66.0,71.4,76.3,66.0,71.4,68.0,89.3,0.27,100,16.67,rain,0.0,0.0,27.5,12.7,209.3,1015.4,85.6,9.9,87.6,7.6,4,10.0,2024-10-23T05:54:20,2024-10-23T16:55:22,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2024-10-24,77.3,68.8,72.7,77.3,68.8,72.7,65.8,79.3,0.0,0,0.0,rain,0.0,0.0,15.2,9.1,31.7,1016.0,64.7,11.0,65.8,5.7,3,10.0,2024-10-24T05:55:15,2024-10-24T16:54:12,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47662099999,47671099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2024-10-25,71.0,66.0,68.7,71.0,66.0,68.7,61.1,77.1,0.019,100,4.17,rain,0.0,0.0,14.5,7.9,21.3,1023.8,92.9,11.9,25.8,2.2,1,10.0,2024-10-25T05:56:10,2024-10-25T16:53:02,0.75,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
