date,time,city,country,temperature_c,temperature_f,condition,wind_kph,humidity,uv_index,clothing_recommendation
2025-04-14,00:00,Berlin,Germany,13.3,55.9,Partly Cloudy ,6.1,82,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-14,01:00,Berlin,Germany,12.8,55.0,Partly Cloudy ,6.5,83,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-14,02:00,Berlin,Germany,12.4,54.4,Partly Cloudy ,5.4,84,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-14,03:00,Berlin,Germany,12.5,54.5,Partly Cloudy ,5.4,83,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-14,04:00,Berlin,Germany,12.3,54.1,Patchy rain nearby,5.4,84,0.0,"🧶 Hoodie or light jacket, jeans ☔ (Don't forget an umbrella!)"
2025-04-14,05:00,Berlin,Germany,12.3,54.1,Patchy rain nearby,5.8,86,0.0,"🧶 Hoodie or light jacket, jeans ☔ (Don't forget an umbrella!)"
2025-04-14,06:00,Berlin,Germany,12.2,54.0,Patchy light drizzle,6.8,88,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-14,07:00,Berlin,Germany,12.8,55.0,Patchy rain nearby,7.9,87,0.1,"🧶 Hoodie or light jacket, jeans ☔ (Don't forget an umbrella!)"
2025-04-14,08:00,Berlin,Germany,14.1,57.3,Partly Cloudy ,8.6,80,0.4,"🧶 Hoodie or light jacket, jeans"
2025-04-14,09:00,Berlin,Germany,15.6,60.0,Partly Cloudy ,9.7,71,0.7,"🧶 Hoodie or light jacket, jeans"
2025-04-14,10:00,Berlin,Germany,17.1,62.7,Patchy rain nearby,11.5,62,0.8,"👕 T-shirt, jeans/skirt, sneakers ☔ (Don't forget an umbrella!)"
2025-04-14,11:00,Berlin,Germany,17.2,63.0,Partly cloudy,12.2,63,1.8,"👕 T-shirt, jeans/skirt, sneakers"
2025-04-14,12:00,Berlin,Germany,19.1,66.5,Patchy rain nearby,11.5,47,3.3,"👕 T-shirt, jeans/skirt, sneakers ☔ (Don't forget an umbrella!)"
2025-04-14,13:00,Berlin,Germany,19.9,67.7,Patchy rain nearby,11.9,42,4.0,"👕 T-shirt, jeans/skirt, sneakers ☔ (Don't forget an umbrella!)"
2025-04-14,14:00,Berlin,Germany,19.2,66.5,Overcast ,11.2,42,3.3,"👕 T-shirt, jeans/skirt, sneakers"
2025-04-14,15:00,Berlin,Germany,18.4,65.1,Partly Cloudy ,7.6,45,2.0,"👕 T-shirt, jeans/skirt, sneakers"
2025-04-14,16:00,Berlin,Germany,18.3,64.9,Partly Cloudy ,4.0,45,1.3,"👕 T-shirt, jeans/skirt, sneakers"
2025-04-14,17:00,Berlin,Germany,18.9,66.0,Sunny,5.4,43,0.8,"👕 T-shirt, jeans/skirt, sneakers"
2025-04-14,18:00,Berlin,Germany,17.9,64.3,Sunny,6.5,47,0.5,"👕 T-shirt, jeans/skirt, sneakers"
2025-04-14,19:00,Berlin,Germany,15.7,60.3,Sunny,7.9,55,0.2,"🧶 Hoodie or light jacket, jeans"
2025-04-14,20:00,Berlin,Germany,14.7,58.5,Sunny,8.3,59,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-14,21:00,Berlin,Germany,14.1,57.4,Clear ,9.0,61,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-14,22:00,Berlin,Germany,13.5,56.4,Clear ,10.1,63,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-14,23:00,Berlin,Germany,13.0,55.4,Partly Cloudy ,10.4,64,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-15,00:00,Berlin,Germany,13.2,55.7,Partly Cloudy ,12.2,65,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-15,01:00,Berlin,Germany,13.0,55.5,Partly Cloudy ,13.7,67,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-15,02:00,Berlin,Germany,12.8,55.0,Clear ,14.8,69,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-15,03:00,Berlin,Germany,12.5,54.4,Clear ,15.8,71,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-15,04:00,Berlin,Germany,12.0,53.6,Clear ,14.8,76,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-15,05:00,Berlin,Germany,11.7,53.0,Clear ,15.1,79,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-15,06:00,Berlin,Germany,12.0,53.7,Partly Cloudy ,15.1,81,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-15,07:00,Berlin,Germany,13.6,56.4,Partly Cloudy ,15.8,77,0.1,"🧶 Hoodie or light jacket, jeans"
2025-04-15,08:00,Berlin,Germany,15.2,59.3,Partly Cloudy ,18.7,72,0.5,"🧶 Hoodie or light jacket, jeans"
2025-04-15,09:00,Berlin,Germany,17.4,63.3,Patchy rain nearby,21.2,64,1.0,"👕 T-shirt, jeans/skirt, sneakers ☔ (Don't forget an umbrella!)"
2025-04-15,10:00,Berlin,Germany,15.6,60.2,Patchy rain nearby,18.0,74,1.9,"🧶 Hoodie or light jacket, jeans ☔ (Don't forget an umbrella!)"
2025-04-15,11:00,Berlin,Germany,14.4,57.9,Light drizzle,18.4,80,0.6,"🧶 Hoodie or light jacket, jeans"
2025-04-15,12:00,Berlin,Germany,14.1,57.3,Patchy rain nearby,19.8,82,0.3,"🧶 Hoodie or light jacket, jeans ☔ (Don't forget an umbrella!)"
2025-04-15,13:00,Berlin,Germany,14.1,57.4,Overcast ,20.5,82,0.3,"🧶 Hoodie or light jacket, jeans"
2025-04-15,14:00,Berlin,Germany,14.1,57.4,Overcast ,19.1,84,0.4,"🧶 Hoodie or light jacket, jeans"
2025-04-15,15:00,Berlin,Germany,13.9,57.1,Overcast ,17.3,85,0.3,"🧶 Hoodie or light jacket, jeans"
2025-04-15,16:00,Berlin,Germany,13.8,56.9,Patchy rain nearby,15.8,86,0.3,"🧶 Hoodie or light jacket, jeans ☔ (Don't forget an umbrella!)"
2025-04-15,17:00,Berlin,Germany,13.6,56.5,Patchy rain nearby,14.8,87,0.2,"🧶 Hoodie or light jacket, jeans ☔ (Don't forget an umbrella!)"
2025-04-15,18:00,Berlin,Germany,13.4,56.2,Patchy rain nearby,14.4,89,0.1,"🧶 Hoodie or light jacket, jeans ☔ (Don't forget an umbrella!)"
2025-04-15,19:00,Berlin,Germany,13.2,55.8,Patchy rain nearby,13.7,90,0.0,"🧶 Hoodie or light jacket, jeans ☔ (Don't forget an umbrella!)"
2025-04-15,20:00,Berlin,Germany,13.1,55.6,Patchy rain nearby,12.2,90,0.0,"🧶 Hoodie or light jacket, jeans ☔ (Don't forget an umbrella!)"
2025-04-15,21:00,Berlin,Germany,13.1,55.5,Overcast ,10.4,90,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-15,22:00,Berlin,Germany,12.6,54.7,Overcast ,7.9,92,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-15,23:00,Berlin,Germany,11.7,53.1,Mist,6.8,95,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-16,00:00,Berlin,Germany,11.3,52.4,Mist,7.2,96,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-16,01:00,Berlin,Germany,11.0,51.9,Mist,7.2,96,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-16,02:00,Berlin,Germany,10.9,51.6,Mist,6.5,96,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-16,03:00,Berlin,Germany,11.0,51.8,Mist,6.5,95,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-16,04:00,Berlin,Germany,10.9,51.7,Mist,6.8,95,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-16,05:00,Berlin,Germany,10.9,51.7,Mist,6.1,94,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-16,06:00,Berlin,Germany,11.4,52.5,Partly Cloudy ,6.1,93,0.0,"🧶 Hoodie or light jacket, jeans"
2025-04-16,07:00,Berlin,Germany,13.1,55.6,Partly Cloudy ,6.5,85,0.1,"🧶 Hoodie or light jacket, jeans"
2025-04-16,08:00,Berlin,Germany,15.1,59.1,Sunny,5.8,76,0.5,"🧶 Hoodie or light jacket, jeans"
2025-04-16,09:00,Berlin,Germany,17.0,62.6,Sunny,5.8,68,1.2,"🧶 Hoodie or light jacket, jeans"
2025-04-16,10:00,Berlin,Germany,18.8,65.8,Sunny,7.6,62,2.2,"👕 T-shirt, jeans/skirt, sneakers"
