name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Tokyo,2025-01-01,52.5,40.4,44.9,52.5,34.9,42.5,19.7,37.2,0,0,0,,0,0,22.4,10.3,319.6,1015.2,1.6,14.3,124.9,10.8,5,10,2025-01-01T06:50:40,2025-01-01T16:38:06,0.04,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-01-02,56.5,36.3,45.9,56.5,32.3,44.5,28.5,51.6,0,0,0,,0,0,15.4,5.7,358.1,1015.3,14.4,13.6,127.5,11.1,5,10,2025-01-02T06:50:50,2025-01-02T16:38:52,0.08,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-01-03,44.4,39.5,42,41.3,35.3,39.2,34.6,75,0,0,0,rain,0,0,16.6,9.1,27.6,1014.8,57.4,13.1,45.9,4,2,10,2025-01-03T06:50:58,2025-01-03T16:39:40,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-01-04,48.8,35.3,41.1,45.9,27.8,38.3,24.4,54.4,0,0,0,,0,0,18.3,10.1,357.5,1019.3,24.8,13.6,129.4,11.2,5,10,2025-01-04T06:51:05,2025-01-04T16:40:30,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47662099999,47671099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-01-05,48.8,33,40.4,47.1,27.6,38.2,26.4,58,0,0,0,,0,0,14.1,5.8,349.9,1023.2,13.6,13.3,118.1,10.3,5,10,2025-01-05T06:51:09,2025-01-05T16:41:20,0.19,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-01-06,46.1,35.1,40.1,45,33.3,37.6,31.8,73.8,0.672,100,29.17,rain,0,0,28,9.3,338.7,1015.1,64.9,9.1,80,6.7,4,10,2025-01-06T06:51:11,2025-01-06T16:42:11,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-01-07,55,39.6,46.4,55,39.4,45,37.3,73.9,0.342,100,4.17,rain,0,0,27.5,11.3,300.8,1000.9,31.7,11.8,87.2,7.5,4,10,2025-01-07T06:51:12,2025-01-07T16:43:03,0.25,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"47662099999,47671099999,47670099999,47642043313,47680099999,47626099999,47682099999,RJTT"
Tokyo,2025-01-08,52.4,37.4,44.4,52.4,34.3,41.8,20.1,38.4,0,0,0,,0,0,19.7,13.8,256.4,1008.1,11.5,13.2,131,11.3,5,10,2025-01-08T06:51:10,2025-01-08T16:43:57,0.29,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47671099999,47727099999,47670099999,47642043313,47680099999,RJTY,47626099999,47682099999,RJTT,RJAA"
Tokyo,2025-01-09,53.7,38.4,44.2,53.7,32.7,40.7,19.3,37.8,0,0,0,,0,0,27.1,11.8,236.7,1007.6,4.5,13.1,138,11.9,5,10,2025-01-09T06:51:07,2025-01-09T16:44:51,0.33,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47671099999,47670099999,47680099999,47642043313,47626099999,47682099999"
Tokyo,2025-01-10,47.9,34.1,40.3,43.7,26.6,35.3,13.5,33.9,0,0,0,,0,0,30.4,15,295.1,1013.8,2.6,13.9,140.4,12.1,6,10,2025-01-10T06:51:01,2025-01-10T16:45:46,0.36,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,RJTY,47626099999,47682099999,RJTT,RJAA"
