city,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,city.1,clothing_recommendation,season,sunrise_hour,sunset_hour,datetime_hour,month,date,day_of_week,msPlayed,genre,main_genre,temp_bin
Tokyo,2024-03-25,53.9,51.5,52.4,53.9,51.5,52.4,51.9,98.1,0.349,100.0,12.5,rain,0.0,0.0,10.1,6.9,329.3,1016.0,99.4,4.6,21.1,1.7,1,10.0,05:37:15,17:56:46,0.5,"rain, overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999",Unknown,"🧶 Hoodie or light jacket, jeans ☔ (Umbrella recommended)",Spring,5,17,0,March,2024-03-25,Monday,360683,nan,Unknown,"(44.66, 59.04]"
Lagos,2024-03-25,95.0,77.0,86.0,116.1,77.0,98.6,78.6,79.4,0.0,0.0,0.0,rain,0.0,0.0,21.0,17.2,220.0,1010.5,54.4,6.2,223.3,19.2,8,75.0,06:48:01,18:56:39,0.5,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999,VRJT5",Unknown,"🩳 Sleeveless, linen, sandals, drink water! 🕶️ (Sunscreen & sunglasses)",Spring,6,18,0,March,2024-03-25,Monday,360683,nan,Unknown,"(73.42, 87.8]"
New York,2024-03-25,51.2,34.9,42.6,51.2,28.0,37.5,21.5,43.8,0.0,0.0,0.0,Unknown,0.0,0.0,32.9,21.6,49.7,1029.9,8.4,9.9,255.5,22.0,8,10.0,06:50:10,19:14:08,0.5,clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732",Unknown,"🧥 Heavy coat, thermal wear, gloves, boots 🕶️ (Sunscreen & sunglasses)",Spring,6,19,0,March,2024-03-25,Monday,360683,nan,Unknown,"(30.28, 44.66]"
London,2024-03-25,53.7,42.5,48.6,53.7,40.9,46.9,38.6,69.2,0.0,0.0,0.0,Unknown,0.0,0.0,23.0,12.7,149.0,1000.2,72.4,10.0,88.1,7.5,3,22.128353498158862,05:50:50,18:22:54,0.5,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F6665,03781099999,03672099999,03772099999,03770099999",Unknown,"🧥 Coat or insulated jacket, boots",Spring,5,18,0,March,2024-03-25,Monday,360683,nan,Unknown,"(44.66, 59.04]"
Berlin,2024-03-25,48.6,37.9,43.1,44.0,34.1,38.1,38.4,84.2,0.176,100.0,54.17,rain,0.0,0.0,22.4,14.2,273.3,1003.5,79.8,20.0,82.8,7.3,4,22.128353498158862,05:56:24,18:29:21,0.5,"rain, partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"00427,03987,00403,E2835,00433,00400",Unknown,"🧥 Coat or insulated jacket, boots ☔ (Umbrella recommended)",Spring,5,18,0,March,2024-03-25,Monday,360683,nan,Unknown,"(30.28, 44.66]"
Lagos,2024-04-07,96.8,78.4,86.5,110.4,78.4,98.2,78.5,78.8,0.0,0.0,0.0,rain,0.0,0.0,21.5,16.1,237.6,1011.0,44.5,6.1,264.4,22.8,9,75.0,06:41:54,18:55:08,0.95,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999",Lagos,"🩳 Sleeveless, linen, sandals, drink water! 🕶️ (Sunscreen & sunglasses)",Spring,6,18,0,April,2024-04-07,Sunday,9134568,gregorian chant,gregorian chant,"(73.42, 87.8]"
Lagos,2024-04-16,89.9,80.2,84.6,105.7,86.9,96.6,79.1,84.3,0.079,100.0,4.17,rain,0.0,0.0,17.9,10.3,227.2,1010.7,56.8,5.4,207.6,17.9,7,60.0,06:38:03,18:54:23,0.25,"rain, partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DNMM,65201099999",Lagos,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Spring,6,18,0,April,2024-04-16,Tuesday,6901052,afropop,afrobeats,"(73.42, 87.8]"
Lagos,2024-04-17,91.7,77.4,84.5,108.3,77.4,96.1,79.0,84.2,0.008,100.0,8.33,rain,0.0,0.0,18.6,11.4,217.1,1009.3,57.5,7.9,214.1,18.6,7,75.0,06:37:39,18:54:19,0.29,"rain, partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DNMM,remote,65201099999",Lagos,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Spring,6,18,0,April,2024-04-17,Wednesday,3566462,gregorian chant,gregorian chant,"(73.42, 87.8]"
Lagos,2024-04-19,95.0,83.2,87.8,116.1,95.8,104.1,80.2,78.8,0.02,100.0,16.67,rain,0.0,0.0,23.5,18.3,199.4,1010.2,58.6,7.3,242.0,20.8,8,75.0,06:36:53,18:54:13,0.35,"rain, partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DNMM,remote,65201099999",Lagos,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Spring,6,18,0,April,2024-04-19,Friday,83157,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-04-21,89.6,76.6,82.5,105.2,76.6,91.8,78.0,86.6,0.276,100.0,4.17,rain,0.0,0.0,61.1,18.3,229.8,1008.7,50.7,6.4,237.7,20.5,8,60.0,06:36:08,18:54:09,0.42,"rain, partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DNMM,remote,65201099999",Lagos,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Spring,6,18,0,April,2024-04-21,Sunday,24464890,nan,afrobeats,"(73.42, 87.8]"
