endTime,artistName,trackName,msPlayed,genre,main_genre
2024-09-17 04:50:00,Dhyana Dan,741 Hz Anxiety Relief,73200,[],Unknown
2024-09-17 04:51:00,Spiritual Frequencies,417 Hz Clear Negative Energy,85500,[],Unknown
2024-09-17 04:52:00,Dhyana Dan,741 Hz Positive Transformation,77272,[],Unknown
2024-09-17 04:54:00,Spiritual Frequencies,432 Hz Gentle Resonance,98399,[],Unknown
2024-09-17 04:56:00,Spiritual Frequencies,852 Hz Spiritual Experience,89552,[],Unknown
2024-09-17 04:57:00,Dhyana Dan,741 Hz DNA Repair,73600,[],Unknown
2024-09-17 04:58:00,Spiritual Frequencies,639 Hz Attract Love,88615,[],Unknown
2024-09-17 05:00:00,Spiritual Frequencies,639 Hz Pure Positive Energy,88421,[],Unknown
2024-09-17 05:01:00,Spiritual Frequencies,432 Hz Rhythms of Serenity,105599,[],Unknown
2024-09-17 05:03:00,Spiritual Frequencies,528 Hz In the Moment,86153,[],Unknown
2024-09-17 05:04:00,Spiritual Frequencies,528 Hz In the Moment,86153,[],Unknown
2024-09-17 05:06:00,Spiritual Frequencies,396 Hz Primary Energy Center,80963,[],Unknown
2024-09-17 05:07:00,Spiritual Frequencies,639 Hz Pure Positive Energy,88421,[],Unknown
2024-09-17 05:08:00,Dhyana Dan,741 Hz Release Struggle & Inner Conflict,73846,[],Unknown
2024-09-17 05:10:00,Spiritual Frequencies,417 Hz Clearing Negative Energy,83720,[],Unknown
2024-09-17 05:11:00,Dhyana Dan,741 Hz Love Frequency,77910,[],Unknown
2024-09-17 05:13:00,Spiritual Frequencies,852 Hz Boosting Awareness,90810,[],Unknown
2024-09-17 05:14:00,Spiritual Frequencies,396 Hz Guilt & Fear Relief,87272,[],Unknown
2024-09-17 05:15:00,Spiritual Frequencies,396 Hz Finding Inner Peace,77837,[],Unknown
2024-09-17 05:17:00,Spiritual Frequencies,417 Hz Removing Blockages,89230,[],Unknown
2024-09-17 05:19:00,Spiritual Frequencies,528 Hz Clarity of Mind,93157,[],Unknown
2024-09-17 05:21:00,Spiritual Frequencies,963 Hz Anxiety Relief,119999,[],Unknown
2024-09-17 05:23:00,Spiritual Frequencies,963 Hz Consciousness Expansion Melody,119999,[],Unknown
2024-09-17 05:24:00,Spiritual Frequencies,852 Hz Spiritual Experience,89552,[],Unknown
